timestamp,vehicle_id,engine_temp_c,vibration_mm_s,run_hours,status
2026-09-15 14:00:00,V001,125.0,15.0,124.5,FAULT
2026-09-15 14:01:00,V002,82.0,3.5,254.0,NOMINAL
2026-09-15 14:02:00,V003,115.0,12.0,119.3,WARNING
2026-09-15 14:03:00,V004,106.0,8.5,314.2,WARNING
2026-09-15 14:04:00,V005,75.0,2.5,444.0,NOMINAL
2026-09-15 14:05:00,V006,122.0,14.5,89.4,FAULT
2026-09-15 14:06:00,V007,88.0,4.0,194.1,NOMINAL
2026-09-15 14:07:00,V008,118.0,11.5,229.5,WARNING
2026-09-15 14:08:00,V009,107.0,8.8,344.8,WARNING
2026-09-15 14:09:00,V010,68.0,1.8,414.2,NOMINAL
2026-09-15 14:10:00,V011,106.5,8.2,154.0,WARNING
2026-09-15 14:11:00,V012,130.0,16.0,279.4,FAULT
2026-09-15 14:12:00,V013,72.0,2.2,364.7,NOMINAL
2026-09-15 14:13:00,V014,114.0,13.0,199.3,WARNING
2026-09-15 14:14:00,V015,105.5,8.1,214.6,WARNING
2026-09-15 14:15:00,V016,85.0,3.8,502.5,NOMINAL
2026-09-15 14:16:00,V017,128.0,15.5,99.0,FAULT
2026-09-15 14:17:00,V018,116.5,12.5,384.2,WARNING
2026-09-15 14:18:00,V019,108.0,9.0,134.9,WARNING
2026-09-15 14:19:00,V020,79.0,3.0,284.0,NOMINAL
